LectureID;DateKey;FromTimeKey;UntilTimeKey;ClassKey;SubgroupKey;RoomKey;ActivityKey;UserCount;TotalStudents;FullDate;NameDayDutch;NameMonthDutch;Weekday;Month;Year;DayOfYear;NumberSemester;Season;StartHour;StartMinutes;StartSeconds;StartTime;StartAMPM;EndHour;EndMinutes;EndSeconds;EndTime;EndAMPM;CanonicalActivity;ActivityDomain;ActivityGroup;SourceColumn;SourceValue;IsCourse;IsExam;IsAcademicEvent;IsGuestLecture;IsMakeUp;IsPractical;IsPresentation;IsDigitalPossible;ClassName;ClassCode;ClassCredits;ClassSecondChance;ClassProgramStage;SubgroupCode;ProgramName;Building;RoomFloor;RoomCode;RoomName;RoomCategory;Capacity;Area;Stakingsdag
449160;20260430;133000;153000;3906;5777395;2309;7;NULL;23;2026-04-30;Thursday;April;5;4;2026;120;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Oefensessie;Course;Practice;WorkFormCourse;Oefensessie;1;0;0;0;0;0;0;0;Meertalig professioneel communiceren;193335;3;1;1;PBA-VG-LAM/1C;PBA-VG-LAM;2;4;01.02.140.013;GSCHB.4.013;laptoplokaal;49;121.00;0
449160;20260430;133000;153000;3906;5898689;2309;7;NULL;16;2026-04-30;Thursday;April;5;4;2026;120;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Oefensessie;Course;Practice;WorkFormCourse;Oefensessie;1;0;0;0;0;0;0;0;Meertalig professioneel communiceren;193335;3;1;1;PBA-VG-LAM/1B2;PBA-VG-LAM;2;4;01.02.140.013;GSCHB.4.013;laptoplokaal;49;121.00;0
448631;20260309;133000;153000;4482;5824883;1591;2;NULL;20;2026-03-09;Monday;March;2;3;2026;68;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2B;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
448637;20260504;133000;153000;4482;5801248;1591;2;NULL;20;2026-05-04;Monday;May;2;5;2026;124;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2A;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
448637;20260504;133000;153000;4482;5824883;1591;2;NULL;20;2026-05-04;Monday;May;2;5;2026;124;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2B;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
448647;20260302;133000;153000;4482;5801248;1591;2;NULL;20;2026-03-02;Monday;March;2;3;2026;61;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2A;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
448647;20260302;133000;153000;4482;5824883;1591;2;NULL;20;2026-03-02;Monday;March;2;3;2026;61;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2B;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
448649;20260316;133000;153000;4482;5801248;1591;2;NULL;20;2026-03-16;Monday;March;2;3;2026;75;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Biochemie 2;193910;4;1;2;PBA-CH-BCH/2A;PBA-CH-BCH;2;4;01.02.140.015;GSCHB.4.015;leslokaal;54;70.33;0
450535;20260209;133000;153000;5356;5754569;1580;2;NULL;56;2026-02-09;Monday;February;2;2;2026;40;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Financiële en bedrijfskundige administratie II;194782;5;1;1;PBA-BM-KM/1B;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450536;20260223;133000;153000;5356;5754569;1580;2;NULL;56;2026-02-23;Monday;February;2;2;2026;54;1;Winter;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Financiële en bedrijfskundige administratie II;194782;5;1;1;PBA-BM-KM/1B;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
